gene_id	gene_name	pval
LOC111106712	LOC111106712	1.5114854401871747e-05
LOC111136982	LOC111136982	1.534987651649876e-05
LOC111114859	LOC111114859	1.5458578807083127e-05
LOC111102902	LOC111102902	1.5628277246142277e-05
LOC111128006	LOC111128006	1.5690053979089282e-05
LOC111115175	LOC111115175	1.6035358302187702e-05
LOC111112778	LOC111112778	1.6117792063204533e-05
LOC111119648	LOC111119648	1.6121737837478663e-05
LOC111123345	LOC111123345	1.6146515369784064e-05
LOC111118105	LOC111118105	1.640610687189875e-05
LOC111116842	LOC111116842	1.6441902513009145e-05
LOC111127521	LOC111127521	1.666938130199286e-05
LOC111127271	LOC111127271	1.6984469719845944e-05
LOC111133503	LOC111133503	1.7136480680193704e-05
LOC111102587	LOC111102587	1.7233992848159426e-05
LOC111114637	LOC111114637	1.7266463845914898e-05
LOC111125689	LOC111125689	1.8234059579960562e-05
LOC111112685	LOC111112685	1.8357683138914016e-05
LOC111105675	LOC111105675	1.8443077065545415e-05
LOC111110238	LOC111110238	1.8456584515419106e-05
LOC111112120	LOC111112120	1.8870371126156486e-05
LOC111100485	LOC111100485	1.9556129152497457e-05
LOC111111381	LOC111111381	1.9576130546345022e-05
LOC111133379	LOC111133379	1.9761356519135072e-05
LOC111121522	LOC111121522	1.9961560201021402e-05
LOC111104313	LOC111104313	2.0023230142199007e-05
LOC111134486	LOC111134486	2.0240337012463586e-05
LOC111123710	LOC111123710	2.046683533148337e-05
LOC111137969	LOC111137969	2.0666442655148452e-05
LOC111129021	LOC111129021	2.0858448582978162e-05
LOC111134611	LOC111134611	2.0903733161914042e-05
LOC111114894	LOC111114894	2.0932392291726337e-05
LOC111100552	LOC111100552	2.1163795562080976e-05
LOC111110784	LOC111110784	2.1269100046381467e-05
LOC111111121	LOC111111121	2.126937600155213e-05
LOC111126435	LOC111126435	2.1429541916895934e-05
LOC111102805	LOC111102805	2.1526696369561445e-05
LOC111134740	LOC111134740	2.1700538994107175e-05
LOC111130689	LOC111130689	2.1755649259513558e-05
LOC111122677	LOC111122677	2.235064550706578e-05
LOC111117749	LOC111117749	2.2397281345705084e-05
LOC111101367	LOC111101367	2.2581214960920483e-05
LOC111112679	LOC111112679	2.278452754276624e-05
LOC111123383	LOC111123383	2.2903154988477575e-05
LOC111102874	LOC111102874	2.3561374246074293e-05
LOC111137922	LOC111137922	2.357840005040231e-05
LOC111112214	LOC111112214	2.3693252858639244e-05
LOC111127452	LOC111127452	2.3784339255779974e-05
LOC111120778	LOC111120778	2.3969047114277903e-05
LOC111101614	LOC111101614	2.4047327056872706e-05
LOC111102051	LOC111102051	2.4124736909632905e-05
LOC111107485	LOC111107485	2.4126706631794964e-05
LOC111126402	LOC111126402	2.4422642663572798e-05
LOC111135866	LOC111135866	2.4499415127644113e-05
LOC111106035	LOC111106035	2.4834111617041076e-05
LOC111134231	LOC111134231	2.497491111346447e-05
LOC111133709	LOC111133709	2.5239366697636076e-05
LOC111118607	LOC111118607	2.5310524577914496e-05
LOC111136110	LOC111136110	2.534419423096134e-05
LOC111128066	LOC111128066	2.5603676235637598e-05
LOC111125457	LOC111125457	2.5818156848727622e-05
LOC111118100	LOC111118100	2.6239450830125273e-05
LOC111119160	LOC111119160	2.6754330806963462e-05
LOC111136635	LOC111136635	2.700044836887298e-05
LOC111113274	LOC111113274	2.736183014620011e-05
LOC111103969	LOC111103969	2.7482158830503405e-05
LOC111131345	LOC111131345	2.7799901428641532e-05
LOC111129321	LOC111129321	2.7878884343844786e-05
LOC111100596	LOC111100596	2.8156219794912376e-05
LOC111122282	LOC111122282	2.910667247934166e-05
LOC111126901	LOC111126901	2.9113208933249446e-05
LOC111114507	LOC111114507	2.9138113895898803e-05
LOC111128051	LOC111128051	2.921915780835091e-05
LOC111124508	LOC111124508	2.9304222400307212e-05
LOC111126639	LOC111126639	2.9534064578061555e-05
LOC111103817	LOC111103817	2.9547278378122234e-05
LOC111131632	LOC111131632	2.964200986479348e-05
LOC111121026	LOC111121026	3.0174292487171777e-05
LOC111113469	LOC111113469	3.0216199186556216e-05
LOC111100113	LOC111100113	3.0220880863792117e-05
LOC111127766	LOC111127766	3.032346773717376e-05
LOC111115103	LOC111115103	3.0338733024538814e-05
LOC111112844	LOC111112844	3.057591704770041e-05
LOC111104545	LOC111104545	3.059509254418315e-05
LOC111136482	LOC111136482	3.0811543361697237e-05
LOC111129143	LOC111129143	3.129162007104602e-05
LOC111115976	LOC111115976	3.147871163468776e-05
LOC111108554	LOC111108554	3.175420374559517e-05
LOC111130229	LOC111130229	3.19823112134451e-05
LOC111122419	LOC111122419	3.199345812472279e-05
LOC111126566	LOC111126566	3.203814784158663e-05
LOC111102935	LOC111102935	3.208239177138567e-05
LOC111106782	LOC111106782	3.210734026577517e-05
LOC111104792	LOC111104792	3.225534789475645e-05
LOC111128874	LOC111128874	3.2372451900290145e-05
LOC111106425	LOC111106425	3.317095206888925e-05
LOC111118027	LOC111118027	3.329239263744432e-05
LOC111121879	LOC111121879	3.3705022531462105e-05
LOC111134436	LOC111134436	3.385547570648559e-05
LOC111125939	LOC111125939	3.4045073940861473e-05
LOC111114994	LOC111114994	3.4095785136085525e-05
LOC111127561	LOC111127561	3.425697517212173e-05
LOC111130029	LOC111130029	3.4663873639954484e-05
LOC111116729	LOC111116729	3.468662587288403e-05
LOC111112770	LOC111112770	3.473225438445971e-05
LOC111101355	LOC111101355	3.509912646511828e-05
LOC111123604	LOC111123604	3.5188554725742706e-05
LOC111123295	LOC111123295	3.5686981069515235e-05
LOC111112175	LOC111112175	3.569066938892197e-05
LOC111106004	LOC111106004	3.604697993484756e-05
LOC111100246	LOC111100246	3.607369924221099e-05
LOC111131230	LOC111131230	3.678261775906864e-05
LOC111110869	LOC111110869	3.753762419747855e-05
LOC111114974	LOC111114974	3.7543186415448544e-05
LOC111125181	LOC111125181	3.756000886619003e-05
LOC111125762	LOC111125762	3.783927515255617e-05
LOC111124565	LOC111124565	3.7901440511166866e-05
LOC111115811	LOC111115811	3.793665434642384e-05
LOC111104156	LOC111104156	3.799846703548809e-05
LOC111124880	LOC111124880	3.800193398189055e-05
LOC111108556	LOC111108556	3.801711295475778e-05
LOC111102645	LOC111102645	3.804354134365468e-05
LOC111113084	LOC111113084	3.830590195862165e-05
LOC111101550	LOC111101550	3.832265839333769e-05
LOC111112924	LOC111112924	3.834073412225996e-05
LOC111102525	LOC111102525	3.837694867523843e-05
LOC111123237	LOC111123237	3.8392523272961265e-05
LOC111099745	LOC111099745	3.8772548707268974e-05
LOC111122544	LOC111122544	3.912719582079208e-05
LOC111120075	LOC111120075	3.913979937030648e-05
LOC111124169	LOC111124169	3.984127384378504e-05
